id,requirement,minimum_acceptance,status,owner_role,named_owner,release_baseline,verification_method,implementation,stored_evidence,limitations,production_acceptance
ACT-001,Every protected operation SHALL be represented as a Canonical Action Capsule before policy evaluation.,Equivalent inputs canonicalise to the same stable representation and hash.,VERIFIED_IN_ENGINEERING_PROFILE,Core security maintainer,Not assigned; required before production,R0,Automated test / simulation,src/canonical.mjs; src/schema.mjs; src/fabric.mjs,tests/canonical.test.mjs; reports/tests.tap; reports/final-regression.tap,"Typed single actions are implemented. Composition, independent high-assurance protocol review and some full-platform semantics are not implemented.",NOT_APPROVED
ACT-002,"The Action Capsule SHALL include tenant, actor, device/workload, action type, target resource, current state version, requested state, destination, quantity/volume, purpose, evidence references, policy version, nonce, issue time, expiry and rollback metadata where applicable.",Schema validator rejects a capsule missing a mandatory field for its action class.,PARTIAL,Core security maintainer,Not assigned; required before production,R0,Source inspection / analysis; external acceptance still required,src/canonical.mjs; src/schema.mjs; src/fabric.mjs,docs/PRODUCTION-ACCEPTANCE.md,"Typed single actions are implemented. Composition, independent high-assurance protocol review and some full-platform semantics are not implemented.",NOT_APPROVED
ACT-003,"Canonicalisation SHALL use deterministic field ordering, type rules, normalisation and versioned schemas.",Cross-language reference implementations produce identical test-vector hashes.,VERIFIED_IN_ENGINEERING_PROFILE,Core security maintainer,Not assigned; required before production,R0,Automated test / simulation,src/canonical.mjs; src/schema.mjs; src/fabric.mjs,tests/canonical.test.mjs; reports/tests.tap; reports/final-regression.tap,"Typed single actions are implemented. Composition, independent high-assurance protocol review and some full-platform semantics are not implemented.",NOT_APPROVED
ACT-004,The Action Capsule SHALL bind both the current state and proposed state for mutating actions.,A state change between approval and execution invalidates the certificate.,VERIFIED_IN_ENGINEERING_PROFILE,Core security maintainer,Not assigned; required before production,R0,Automated test / simulation,src/canonical.mjs; src/schema.mjs; src/fabric.mjs,tests/lifecycle.test.mjs; reports/tests.tap; reports/final-regression.tap,"Typed single actions are implemented. Composition, independent high-assurance protocol review and some full-platform semantics are not implemented.",NOT_APPROVED
ACT-005,"The system SHALL distinguish request intent, authorised action and observed outcome as separate signed objects.",Audit chain contains three linked records and detects a mismatched outcome.,PARTIAL,Core security maintainer,Not assigned; required before production,R0,Source inspection / analysis; external acceptance still required,src/canonical.mjs; src/schema.mjs; src/fabric.mjs,docs/PRODUCTION-ACCEPTANCE.md,"Typed single actions are implemented. Composition, independent high-assurance protocol review and some full-platform semantics are not implemented.",NOT_APPROVED
ACT-006,Free-form text SHALL never be the sole authoritative representation of a protected action.,Policy engine consumes typed fields rather than LLM prose.,VERIFIED_IN_ENGINEERING_PROFILE,Core security maintainer,Not assigned; required before production,R0,Source inspection / analysis; external acceptance still required,src/canonical.mjs; src/schema.mjs; src/fabric.mjs,docs/PRODUCTION-ACCEPTANCE.md,"Typed single actions are implemented. Composition, independent high-assurance protocol review and some full-platform semantics are not implemented.",NOT_APPROVED
ACT-007,"Unknown or ambiguous values in a safety-relevant field SHALL produce ESCROW or DENY, never silent default ALLOW.",Fuzz tests show all unknown enum values fail safely.,VERIFIED_IN_ENGINEERING_PROFILE,Core security maintainer,Not assigned; required before production,R0,Automated test / simulation,src/canonical.mjs; src/schema.mjs; src/fabric.mjs,tests/canonical.test.mjs; tests/extended-security.test.mjs; reports/tests.tap; reports/final-regression.tap,"Typed single actions are implemented. Composition, independent high-assurance protocol review and some full-platform semantics are not implemented.",NOT_APPROVED
ACT-008,Every Action Capsule SHALL carry a schema identifier and schema digest.,A verifier rejects unsupported or tampered schema versions.,VERIFIED_IN_ENGINEERING_PROFILE,Core security maintainer,Not assigned; required before production,R0,Automated test / simulation,src/canonical.mjs; src/schema.mjs; src/fabric.mjs,tests/lifecycle.test.mjs; reports/tests.tap; reports/final-regression.tap,"Typed single actions are implemented. Composition, independent high-assurance protocol review and some full-platform semantics are not implemented.",NOT_APPROVED
ACT-009,Action schemas SHALL support nested resource scopes and explicit exclusions.,A data export can permit named columns while explicitly denying payment tokens.,PARTIAL,Core security maintainer,Not assigned; required before production,R0,Source inspection / analysis; external acceptance still required,src/canonical.mjs; src/schema.mjs; src/fabric.mjs,docs/PRODUCTION-ACCEPTANCE.md,"Typed single actions are implemented. Composition, independent high-assurance protocol review and some full-platform semantics are not implemented.",NOT_APPROVED
ACT-010,The platform SHALL provide human-readable rendering generated from the same canonical fields used for signing.,Changing a rendered safety-relevant value changes the signed digest.,PARTIAL,Core security maintainer,Not assigned; required before production,R0,Automated test / simulation,src/canonical.mjs; src/schema.mjs; src/fabric.mjs,tests/lifecycle.test.mjs; reports/tests.tap; reports/final-regression.tap,"Typed single actions are implemented. Composition, independent high-assurance protocol review and some full-platform semantics are not implemented.",NOT_APPROVED
ACT-011,Action Capsule identifiers SHALL be globally unique within a tenant and collision-resistant.,Duplicate capsule submission is detected and rejected.,VERIFIED_IN_ENGINEERING_PROFILE,Core security maintainer,Not assigned; required before production,R0,Automated test / simulation,src/canonical.mjs; src/schema.mjs; src/fabric.mjs,tests/lifecycle.test.mjs; reports/tests.tap; reports/final-regression.tap,"Typed single actions are implemented. Composition, independent high-assurance protocol review and some full-platform semantics are not implemented.",NOT_APPROVED
ACT-012,The platform SHALL support action composition while preventing a composed action from silently acquiring authority not present in its children.,A multi-step workflow is denied when any child capability is missing or broader than allowed.,NOT_IMPLEMENTED,Core security maintainer,Not assigned; required before production,R0,Source inspection / analysis; external acceptance still required,src/canonical.mjs; src/schema.mjs; src/fabric.mjs,docs/PRODUCTION-ACCEPTANCE.md,"Typed single actions are implemented. Composition, independent high-assurance protocol review and some full-platform semantics are not implemented.",NOT_APPROVED
EVD-001,"Policy SHALL evaluate evidence by type, issuer, freshness, scope, confidence and trust domain.",Policy tests distinguish two pieces of evidence from the same compromised domain from two independent domains.,VERIFIED_IN_ENGINEERING_PROFILE,Evidence integration owner,Not assigned; required before production,R1,Automated test / simulation,src/fabric.mjs; src/policy.mjs,tests/lifecycle.test.mjs; reports/tests.tap; reports/final-regression.tap,"Evidence issuer signatures and conservative dependency rules are implemented; source acquisition, issuer onboarding and real authority verification are not.",NOT_APPROVED
EVD-002,The Evidence Graph SHALL model dependency relationships so derivative evidence does not count as independent.,An invoice parsed from an email and the email itself count as one source domain.,VERIFIED_IN_ENGINEERING_PROFILE,Evidence integration owner,Not assigned; required before production,R1,Automated test / simulation,src/fabric.mjs; src/policy.mjs,tests/lifecycle.test.mjs; reports/tests.tap; reports/final-regression.tap,"Evidence issuer signatures and conservative dependency rules are implemented; source acquisition, issuer onboarding and real authority verification are not.",NOT_APPROVED
EVD-003,"Every evidence item SHALL have an immutable reference, content digest, acquisition time, expiry and verification method.",Tampered evidence fails digest verification and invalidates dependent decisions.,VERIFIED_IN_ENGINEERING_PROFILE,Evidence integration owner,Not assigned; required before production,R1,Automated test / simulation,src/fabric.mjs; src/policy.mjs,tests/lifecycle.test.mjs; reports/tests.tap; reports/final-regression.tap,"Evidence issuer signatures and conservative dependency rules are implemented; source acquisition, issuer onboarding and real authority verification are not.",NOT_APPROVED
EVD-004,"The system SHALL support customer-defined authoritative sources such as ERP, bank, HRIS, device attestation, legal registry and counterparty credential.",Policy can require one item from each selected domain.,PARTIAL,Evidence integration owner,Not assigned; required before production,R1,Source inspection / analysis; external acceptance still required,src/fabric.mjs; src/policy.mjs,docs/PRODUCTION-ACCEPTANCE.md,"Evidence issuer signatures and conservative dependency rules are implemented; source acquisition, issuer onboarding and real authority verification are not.",NOT_APPROVED
EVD-005,Communication channels SHALL default to explanatory evidence with zero authorising weight unless explicitly and narrowly configured.,A valid CEO email alone cannot satisfy a high-risk action policy.,VERIFIED_IN_ENGINEERING_PROFILE,Evidence integration owner,Not assigned; required before production,R1,Automated test / simulation,src/fabric.mjs; src/policy.mjs,tests/lifecycle.test.mjs; reports/tests.tap; reports/final-regression.tap,"Evidence issuer signatures and conservative dependency rules are implemented; source acquisition, issuer onboarding and real authority verification are not.",NOT_APPROVED
EVD-006,Evidence acquisition SHALL be purpose-limited and minimise stored content.,The system stores extracted fields and digest when full content is not required.,PARTIAL,Evidence integration owner,Not assigned; required before production,R1,Source inspection / analysis; external acceptance still required,src/fabric.mjs; src/policy.mjs,docs/PRODUCTION-ACCEPTANCE.md,"Evidence issuer signatures and conservative dependency rules are implemented; source acquisition, issuer onboarding and real authority verification are not.",NOT_APPROVED
EVD-007,Evidence freshness requirements SHALL be action-specific.,A bank-ownership proof can expire sooner than a corporate registration proof.,PARTIAL,Evidence integration owner,Not assigned; required before production,R1,Source inspection / analysis; external acceptance still required,src/fabric.mjs; src/policy.mjs,docs/PRODUCTION-ACCEPTANCE.md,"Evidence issuer signatures and conservative dependency rules are implemented; source acquisition, issuer onboarding and real authority verification are not.",NOT_APPROVED
EVD-008,Evidence revocation SHALL invalidate all unexecuted certificates that depended on it.,Revoking a counterparty credential blocks pending actions immediately.,VERIFIED_IN_ENGINEERING_PROFILE,Evidence integration owner,Not assigned; required before production,R1,Automated test / simulation,src/fabric.mjs; src/policy.mjs,tests/lifecycle.test.mjs; reports/tests.tap; reports/final-regression.tap,"Evidence issuer signatures and conservative dependency rules are implemented; source acquisition, issuer onboarding and real authority verification are not.",NOT_APPROVED
EVD-009,"The platform SHALL distinguish missing evidence, conflicting evidence and unverifiable evidence in operator output.",Each state results in a different machine-readable reason code.,VERIFIED_IN_ENGINEERING_PROFILE,Evidence integration owner,Not assigned; required before production,R1,Automated test / simulation,src/fabric.mjs; src/policy.mjs,tests/lifecycle.test.mjs; reports/tests.tap; reports/final-regression.tap,"Evidence issuer signatures and conservative dependency rules are implemented; source acquisition, issuer onboarding and real authority verification are not.",NOT_APPROVED
EVD-010,Evidence connectors SHALL expose provenance and transformation steps.,An auditor can determine whether a field came directly from the source or an AI extraction.,PARTIAL,Evidence integration owner,Not assigned; required before production,R1,Source inspection / analysis; external acceptance still required,src/fabric.mjs; src/policy.mjs,docs/PRODUCTION-ACCEPTANCE.md,"Evidence issuer signatures and conservative dependency rules are implemented; source acquisition, issuer onboarding and real authority verification are not.",NOT_APPROVED
EVD-011,AI-derived evidence SHALL be marked advisory and SHALL require deterministic or authoritative corroboration for high-risk actions.,Removing corroboration changes decision from ALLOW to ESCROW or DENY.,VERIFIED_IN_ENGINEERING_PROFILE,Evidence integration owner,Not assigned; required before production,R1,Source inspection / analysis; external acceptance still required,src/fabric.mjs; src/policy.mjs,docs/PRODUCTION-ACCEPTANCE.md,"Evidence issuer signatures and conservative dependency rules are implemented; source acquisition, issuer onboarding and real authority verification are not.",NOT_APPROVED
POL-001,"Policy evaluation SHALL be deterministic for the same capsule, evidence set, policy version and trusted time.",Repeated offline evaluation produces identical result and explanation.,VERIFIED_IN_ENGINEERING_PROFILE,Customer policy governance owner,Not assigned; required before production,R2,Automated test / simulation,src/policy.mjs; src/fabric.mjs,tests/extended-security.test.mjs; reports/tests.tap; reports/final-regression.tap,"Deterministic local constitution and delayed software-quorum policy activation exist; emergency policy profiles, production staged release and protected full lifecycle remain gaps.",NOT_APPROVED
POL-002,"Policy decisions SHALL be one of ALLOW, SHIELD, ESCROW, DEFER or DENY.",No undefined decision reaches an execution gate.,VERIFIED_IN_ENGINEERING_PROFILE,Customer policy governance owner,Not assigned; required before production,R2,Automated test / simulation,src/policy.mjs; src/fabric.mjs,tests/extended-security.test.mjs; reports/tests.tap; reports/final-regression.tap,"Deterministic local constitution and delayed software-quorum policy activation exist; emergency policy profiles, production staged release and protected full lifecycle remain gaps.",NOT_APPROVED
POL-003,ALLOW SHALL mean all mandatory conditions are met and the exact action may proceed.,Certificate issuance is possible only for ALLOW.,VERIFIED_IN_ENGINEERING_PROFILE,Customer policy governance owner,Not assigned; required before production,R2,Automated test / simulation,src/policy.mjs; src/fabric.mjs,tests/lifecycle.test.mjs; reports/tests.tap; reports/final-regression.tap,"Deterministic local constitution and delayed software-quorum policy activation exist; emergency policy profiles, production staged release and protected full lifecycle remain gaps.",NOT_APPROVED
POL-004,"SHIELD SHALL allow the action only after automatic risk-reducing transformation such as redaction, limit reduction, destination substitution or sandboxing.",Transformed capsule differs explicitly and requires re-evaluation.,PARTIAL,Customer policy governance owner,Not assigned; required before production,R2,Automated test / simulation,src/policy.mjs; src/fabric.mjs,tests/runtime-audit.test.mjs; reports/tests.tap; reports/final-regression.tap,"Deterministic local constitution and delayed software-quorum policy activation exist; emergency policy profiles, production staged release and protected full lifecycle remain gaps.",NOT_APPROVED
POL-005,ESCROW SHALL hold the action pending required evidence or independent approval.,"Pending action cannot execute and has an owner, expiry and reason.",VERIFIED_IN_ENGINEERING_PROFILE,Customer policy governance owner,Not assigned; required before production,R2,Automated test / simulation,src/policy.mjs; src/fabric.mjs,tests/lifecycle.test.mjs; reports/tests.tap; reports/final-regression.tap,"Deterministic local constitution and delayed software-quorum policy activation exist; emergency policy profiles, production staged release and protected full lifecycle remain gaps.",NOT_APPROVED
POL-006,DEFER SHALL impose a defined time or state condition before re-evaluation.,Action remains non-executable until the timer/state predicate is met.,VERIFIED_IN_ENGINEERING_PROFILE,Customer policy governance owner,Not assigned; required before production,R2,Automated test / simulation,src/policy.mjs; src/fabric.mjs,tests/lifecycle.test.mjs; reports/tests.tap; reports/final-regression.tap,"Deterministic local constitution and delayed software-quorum policy activation exist; emergency policy profiles, production staged release and protected full lifecycle remain gaps.",NOT_APPROVED
POL-007,DENY SHALL permanently reject the evaluated action instance and record a reason.,The same capsule nonce cannot be resubmitted after DENY.,VERIFIED_IN_ENGINEERING_PROFILE,Customer policy governance owner,Not assigned; required before production,R2,Automated test / simulation,src/policy.mjs; src/fabric.mjs,tests/lifecycle.test.mjs; reports/tests.tap; reports/final-regression.tap,"Deterministic local constitution and delayed software-quorum policy activation exist; emergency policy profiles, production staged release and protected full lifecycle remain gaps.",NOT_APPROVED
POL-008,"Policies SHALL be versioned, signed, testable and deployable through staged environments.",Production policy version maps to a reviewed commit and signature.,NOT_IMPLEMENTED,Customer policy governance owner,Not assigned; required before production,R2,Source inspection / analysis; external acceptance still required,src/policy.mjs; src/fabric.mjs,docs/PRODUCTION-ACCEPTANCE.md,"Deterministic local constitution and delayed software-quorum policy activation exist; emergency policy profiles, production staged release and protected full lifecycle remain gaps.",NOT_APPROVED
POL-009,Safety-relevant policy changes SHALL themselves be protected actions.,Changing an export limit requires a PolicyChange capsule and governance route.,VERIFIED_IN_ENGINEERING_PROFILE,Customer policy governance owner,Not assigned; required before production,R2,Automated test / simulation,src/policy.mjs; src/fabric.mjs,tests/lifecycle.test.mjs; reports/tests.tap; reports/final-regression.tap,"Deterministic local constitution and delayed software-quorum policy activation exist; emergency policy profiles, production staged release and protected full lifecycle remain gaps.",NOT_APPROVED
POL-010,The system SHALL render an exact policy diff and simulated impact before activation.,"Reviewer sees affected action classes, tenants and historical decisions.",VERIFIED_IN_ENGINEERING_PROFILE,Customer policy governance owner,Not assigned; required before production,R2,Automated test / simulation,src/policy.mjs; src/fabric.mjs,tests/lifecycle.test.mjs; tests/runtime-audit.test.mjs; reports/tests.tap; reports/final-regression.tap,"Deterministic local constitution and delayed software-quorum policy activation exist; emergency policy profiles, production staged release and protected full lifecycle remain gaps.",NOT_APPROVED
POL-011,"Policies SHALL support separation of duties, rolling budgets, cool-down periods, threshold approvals, destination allowlists, device health and state predicates.",Each control has executable test cases.,PARTIAL,Customer policy governance owner,Not assigned; required before production,R2,Automated test / simulation,src/policy.mjs; src/fabric.mjs,tests/lifecycle.test.mjs; tests/extended-security.test.mjs; reports/tests.tap; reports/final-regression.tap,"Deterministic local constitution and delayed software-quorum policy activation exist; emergency policy profiles, production staged release and protected full lifecycle remain gaps.",NOT_APPROVED
POL-012,No single vendor-controlled credential SHALL be able to activate a customer root policy.,Vendor compromise simulation cannot satisfy activation threshold.,PARTIAL,Customer policy governance owner,Not assigned; required before production,R2,Automated test / simulation,src/policy.mjs; src/fabric.mjs,tests/runtime-audit.test.mjs; reports/tests.tap; reports/final-regression.tap,"Deterministic local constitution and delayed software-quorum policy activation exist; emergency policy profiles, production staged release and protected full lifecycle remain gaps.",NOT_APPROVED
POL-013,"Emergency policies SHALL be pre-defined, narrow, expiring and observable; no universal bypass SHALL exist.","Emergency test proves scope, expiry and alerts.",NOT_IMPLEMENTED,Customer policy governance owner,Not assigned; required before production,R2,Source inspection / analysis; external acceptance still required,src/policy.mjs; src/fabric.mjs,docs/PRODUCTION-ACCEPTANCE.md,"Deterministic local constitution and delayed software-quorum policy activation exist; emergency policy profiles, production staged release and protected full lifecycle remain gaps.",NOT_APPROVED
POL-014,Policy rollback SHALL require protection equivalent to activation and SHALL not revive revoked keys or invalid evidence.,Rollback tests preserve revocations and audit continuity.,PARTIAL,Customer policy governance owner,Not assigned; required before production,R2,Source inspection / analysis; external acceptance still required,src/policy.mjs; src/fabric.mjs,docs/PRODUCTION-ACCEPTANCE.md,"Deterministic local constitution and delayed software-quorum policy activation exist; emergency policy profiles, production staged release and protected full lifecycle remain gaps.",NOT_APPROVED
POL-015,Every decision SHALL include machine-readable reasons and a concise human explanation derived from deterministic evaluation.,Operator can see failed predicates without exposing unnecessary sensitive data.,VERIFIED_IN_ENGINEERING_PROFILE,Customer policy governance owner,Not assigned; required before production,R2,Automated test / simulation,src/policy.mjs; src/fabric.mjs,tests/extended-security.test.mjs; reports/tests.tap; reports/final-regression.tap,"Deterministic local constitution and delayed software-quorum policy activation exist; emergency policy profiles, production staged release and protected full lifecycle remain gaps.",NOT_APPROVED
COM-001,A Commit Gate SHALL reject every protected mutation that lacks a valid Action Certificate.,Direct API call without certificate fails even with a valid user session.,VERIFIED_IN_ENGINEERING_PROFILE,Gate security maintainer,Not assigned; required before production,R2,Automated test / simulation,src/fabric.mjs; src/target.mjs,tests/lifecycle.test.mjs; reports/tests.tap; reports/final-regression.tap,State/replay/reservation/observed-outcome behavior is tested against a simulator. Real target credential isolation and total mediation are not proven.,NOT_APPROVED
COM-002,"An Action Certificate SHALL bind capsule hash, policy version, evidence graph digest, signer set, target gate, nonce, expiry and execution constraints.",Changing any bound field invalidates verification.,VERIFIED_IN_ENGINEERING_PROFILE,Gate security maintainer,Not assigned; required before production,R2,Automated test / simulation,src/fabric.mjs; src/target.mjs,tests/canonical.test.mjs; tests/extended-security.test.mjs; reports/tests.tap; reports/final-regression.tap,State/replay/reservation/observed-outcome behavior is tested against a simulator. Real target credential isolation and total mediation are not proven.,NOT_APPROVED
COM-003,Certificates SHALL be single-use unless an action schema explicitly permits bounded repeated use.,Replay of a consumed certificate is rejected.,VERIFIED_IN_ENGINEERING_PROFILE,Gate security maintainer,Not assigned; required before production,R2,Automated test / simulation,src/fabric.mjs; src/target.mjs,tests/lifecycle.test.mjs; tests/http-concurrency-ui.test.mjs; reports/tests.tap; reports/final-regression.tap,State/replay/reservation/observed-outcome behavior is tested against a simulator. Real target credential isolation and total mediation are not proven.,NOT_APPROVED
COM-004,"The gate SHALL verify trusted time, certificate revocation and target state immediately before execution.","Expired, revoked and stale-state certificates fail.",PARTIAL,Gate security maintainer,Not assigned; required before production,R2,Automated test / simulation,src/fabric.mjs; src/target.mjs,tests/lifecycle.test.mjs; reports/tests.tap; reports/final-regression.tap,State/replay/reservation/observed-outcome behavior is tested against a simulator. Real target credential isolation and total mediation are not proven.,NOT_APPROVED
COM-005,Execution SHALL be atomic or use a documented compensating transaction when atomicity is unavailable.,Failure injection leaves either no change or a verified compensation record.,VERIFIED_IN_ENGINEERING_PROFILE,Gate security maintainer,Not assigned; required before production,R2,Automated test / simulation,src/fabric.mjs; src/target.mjs,tests/lifecycle.test.mjs; reports/tests.tap; reports/final-regression.tap,State/replay/reservation/observed-outcome behavior is tested against a simulator. Real target credential isolation and total mediation are not proven.,NOT_APPROVED
COM-006,The gate SHALL enforce idempotency for retryable actions.,"Network retry cannot create duplicate vendor, beneficiary or payment.",VERIFIED_IN_ENGINEERING_PROFILE,Gate security maintainer,Not assigned; required before production,R2,Automated test / simulation,src/fabric.mjs; src/target.mjs,tests/lifecycle.test.mjs; reports/tests.tap; reports/final-regression.tap,State/replay/reservation/observed-outcome behavior is tested against a simulator. Real target credential isolation and total mediation are not proven.,NOT_APPROVED
COM-007,"The target-facing credential SHALL be held by the Root/Commit Gate where technically possible, not by the calling application.",Compromised application cannot directly authenticate to the resource.,PARTIAL,Gate security maintainer,Not assigned; required before production,R2,Source inspection / analysis; external acceptance still required,src/fabric.mjs; src/target.mjs,docs/PRODUCTION-ACCEPTANCE.md,State/replay/reservation/observed-outcome behavior is tested against a simulator. Real target credential isolation and total mediation are not proven.,NOT_APPROVED
COM-008,The gate SHALL minimise target credential scope to the protected action set.,Credential cannot perform an unrelated administrator operation.,PARTIAL,Gate security maintainer,Not assigned; required before production,R2,Source inspection / analysis; external acceptance still required,src/fabric.mjs; src/target.mjs,docs/PRODUCTION-ACCEPTANCE.md,State/replay/reservation/observed-outcome behavior is tested against a simulator. Real target credential isolation and total mediation are not proven.,NOT_APPROVED
COM-009,The system SHALL verify the observed target outcome against the authorised action.,A deliberately altered downstream response triggers incident status.,VERIFIED_IN_ENGINEERING_PROFILE,Gate security maintainer,Not assigned; required before production,R2,Automated test / simulation,src/fabric.mjs; src/target.mjs,tests/lifecycle.test.mjs; tests/extended-security.test.mjs; reports/tests.tap; reports/final-regression.tap,State/replay/reservation/observed-outcome behavior is tested against a simulator. Real target credential isolation and total mediation are not proven.,NOT_APPROVED
COM-010,Execution result SHALL be signed and linked to the certificate.,Independent verifier reconstructs the chain.,VERIFIED_IN_ENGINEERING_PROFILE,Gate security maintainer,Not assigned; required before production,R2,Automated test / simulation,src/fabric.mjs; src/target.mjs,tests/lifecycle.test.mjs; reports/tests.tap; reports/final-regression.tap,State/replay/reservation/observed-outcome behavior is tested against a simulator. Real target credential isolation and total mediation are not proven.,NOT_APPROVED
COM-011,The gate SHALL support a dry-run mode that never mutates the target.,Pilot can measure decisions safely.,VERIFIED_IN_ENGINEERING_PROFILE,Gate security maintainer,Not assigned; required before production,R2,Automated test / simulation,src/fabric.mjs; src/target.mjs,tests/lifecycle.test.mjs; reports/tests.tap; reports/final-regression.tap,State/replay/reservation/observed-outcome behavior is tested against a simulator. Real target credential isolation and total mediation are not proven.,NOT_APPROVED
COM-012,The gate SHALL expose explicit timeout and uncertain-outcome states; it SHALL not automatically assume success.,Injected timeout produces reconciliation rather than duplicate retry.,VERIFIED_IN_ENGINEERING_PROFILE,Gate security maintainer,Not assigned; required before production,R2,Automated test / simulation,src/fabric.mjs; src/target.mjs,tests/lifecycle.test.mjs; tests/extended-security.test.mjs; reports/tests.tap; reports/final-regression.tap,State/replay/reservation/observed-outcome behavior is tested against a simulator. Real target credential isolation and total mediation are not proven.,NOT_APPROVED
